Source,Target
Dryandri@PER,H. Philipsen Landtgraff@PER
Dryandri@PER,Homberg@LOC
Dryandri@PER,Menschfresser Leuthen@PER
Dryandri@PER,Nidda@LOC
Dryandri@PER,Vnd@PER
Dryandri@PER,Homburg@LOC
Dryandri@PER,Christi@LOC
Dryandri@PER,D. Joh@PER
Dryandri@PER,Hessen@LOC
Dryandri@PER,Dedicirt@PER
Virginia@LOC,China@LOC
Virginia@LOC,cosas@PER
Virginia@LOC,gran Reyno de la China@LOC
Virginia@LOC,Christ@PER
Virginia@LOC,Engelland@LOC
Virginia@LOC,H. Walter Raleigh Ritter@PER
Virginia@LOC,Reichard Greinuile@PER
Virginia@LOC,Matthaevm Dresservm D.@PER
Virginia@LOC,Elisabeth Königin@PER
Virginia@LOC,Jar@LOC
Virginia@LOC,Juan González de Mendoza@PER
Emanuel@PER,Portugal@LOC
Emanuel@PER,Balthasar@PER
Emanuel@PER,Mundus novus@PER
Jaren@PER,Hans Dieterich@PER
Jaren@PER,Portugal@LOC
Jaren@PER,China@LOC
Jaren@PER,Hans Jsrael@PER
Jaren@PER,Holchteutsch@LOC
Jaren@PER,Jetzo@PER
Jaren@PER,Joan Hugo@PER
Jaren@PER,Jar@LOC
Philippo Printze@PER,Ain Schen New Bůch@LOC
Philippo Printze@PER,Jar@LOC
Philippo Printze@PER,Germanien@LOC
Philippo Printze@PER,Hans Heusl@PER
Americe@LOC,Brunst@PER
Americe@LOC,Rom@LOC
Americe@LOC,João@PER
Americe@LOC,Chronicen@PER
Americe@LOC,Morenlandt@LOC
Americe@LOC,Johanns@PER
Americe@LOC,Francisco Álvares@PER
Americe@LOC,Völcker@PER
Indiae Orientalis@PER,Orient@LOC
Indiae Orientalis@PER,Theodor vnd@PER
Indiae Orientalis@PER,Hochteutsch@LOC
Indiae Orientalis@PER,Hollandt@PER
Indiae Orientalis@PER,Sumatra@LOC
Indiae Orientalis@PER,Hollandt@LOC
Indiae Orientalis@PER,Völcker@PER
Indiae Orientalis@PER,Israel de Bry Gebrüder@LOC
Soleiman@PER,Rath@PER
Soleiman@PER,Keyser Ferdinandi@PER
Soleiman@PER,Carle Graff@PER
Soleiman@PER,Gran Ritterlich@LOC
